X,Y
82.224,39.966
83.679,38.54
83.669,38.968
83.139,37.824
81.258,38.632
80.094,40.598
78.848,40.388
76.842,41.294
73.98,43.454
71.206,45.192
67.658,46.696
65.464,46.941
63.943,46.847
61.683,49.246
60.918,48.635
59.688,48.763
59.954,51.329
62.128,55.059
62.182,54.863
56.544,52.248
51.348,51.988
45.858,51.133
40.877,49.201
38.864,46.676
35.647,44.721
33.546,43.167
33.612,40.939
34.921,40.594
37.116,41.771
38.625,41.788
37.435,42.194
34.88,43.029
31.177,43.078
26.045,45.043
20.635,45.309
17.243,46.581
17.03,48.404
19.105,48.981
21.707,49.776
22.363,51.125
22.189,51.528
21.192,50.244
18.353,48.83
15.507,47.559
14.358,46.697
14.842,46.526
16.891,44.896
16.074,45.064
17.368,44.119
21.21,43.577
24.545,44.314
28.587,44.644
32.528,44.998
36.017,46.632
39.472,48.481
42.109,50.652
45.029,52.107
47.97,52.543
49.296,52.266
49.752,53.673
52.407,54.307
51.835,55.188
55.414,55.703
57.277,56.771
58.365,57.863
59.305,58.512
60.394,59.403
61.693,60.424
62.476,61.368
62.992,61.968
63.567,62.997
64.397,64.226
65.227,65.081
64.973,64.306
64.635,63.52
64.848,64.567
63.411,64.67
62.223,64.752
59.488,65.034
56.836,63.704
54.878,60.426
53.725,56.876
53.987,53.878
53.134,51.096
53.282,48.183
52.468,45.499
50.883,42.818
50.398,41.622
51.045,42.523
51.388,42.183
52.521,40.999
54.882,40.706
57.828,38.352
60.69,38.146
65.231,37.269
68.568,36.296
71.143,36.255
74.113,34.777
78.496,33.34
80.986,31.96
81.398,31.155
81.645,31.663
81.543,30.169
81.118,29.195
80.527,29.262
79.949,28.161
79.752,27.873
79.766,26.67
79.925,26.617
80.202,26.823
79.943,27.644
79.941,28.813
79.124,29.553
77.473,28.696
76.896,27.922
77.003,26.699
77.776,26.756
79.73,27.396
80.293,28.946
79.522,31.1
78.139,34.577
76.348,39.383
74.083,44.468
71.299,48.673
69.423,52.208
60.146,51.878
59.521,52.668
59.893,53.755
58.287,53.5
55.786,51.818
53.497,51.826
52.081,51.58
51.153,50.405
51.123,49.674
50.576,50.883
49.757,50.458
48.926,48.197
48.431,45.011
49.143,40.683
50.803,39.594
54.309,37.761
58.33,36.318
62.595,35.257
65.872,34.741
68.614,34.269
71.192,33.417
73.264,32.2
74.048,32.14
75.352,32.543
76.85,31.507
78.272,31.063
79.185,30.86
80.504,30.266
82.043,29.429
83.45,29.662
84.281,29.198
84.329,28.793
84.646,28.233
84.591,27.855
84.19,27.083
83.835,26.174
83.174,25.195
81.996,24.762
80.483,23.168
80.732,24.075
81.733,25.714
83.698,29.963
85.771,33.156
87.064,34.972
85.716,38.106
83.15,39.567
80.464,40.83
78.262,42.585
76.349,44.325
72.763,45.735
69.232,46.852
66.547,47.91
65.229,47.97
65.184,46.848
64.478,47.969
65.063,45.425
67.124,44.397
70.345,44.641
71.671,46.806
71.087,50.712
68.273,54.566
65.187,57.789
62.886,58.169
61.074,59.404
60.703,59.878
60.856,60.7
60.827,61.798
61.118,62.452
62.638,62.65
63.679,62.924
62.939,62.263
61.06,62.733
58.718,63.366
56.675,63.906
55.523,64.102
54.931,63.968
53.994,64.266
53.452,64.01
53.411,63.535
53.641,63.392
53.207,63.898
52.464,64.654
53.083,64.461
53.093,65.597
53.364,65.441
54.634,63.63
57.895,61.498
62.738,59.885
66.187,56.878
67.884,54.923
69.878,53.738
70.58,51.947
69.871,49.743
68.13,47.894
64.956,47.262
60.746,45.139
56.095,44.329
52.326,46.851
49.288,47.804
46.585,45.397
44.141,44.09
43.179,44.498
42.64,44.188
41.583,43.05
40.199,43.261
38.929,42.161
38.159,41.51
37.573,41.886
37.931,40.841
38.269,39.985
38.703,39.383
39.977,37.959
40.696,38.121
41.324,38.63
41.71,38.974
40.269,39.686
39.044,39.72
37.557,39.956
35.316,40.239
32.766,39.411
31.022,40.182
31.331,40.962
32.63,41.07
33.985,41.14
36.402,42.173
38.83,42.32
41.087,41.87
43.709,41.566
45.957,40.975
47.904,40.29
48.85,40.453
51.155,39.187
52.297,37.443
52.773,36.341
52.811,36.263
53.451,35.577
54.287,36.104
55.655,36.479
56.715,36.593
58.804,36.249
61.325,34.604
62.721,34.373
64.758,33.841
68.282,30.977
71.699,28.938
76.301,28.081
80.392,27.028
84.652,26.57
86.516,25.626
86.724,25.573
86.339,25.128
85.357,23.799
84.887,22.252
84.766,20.353
84.558,19.612
84.168,18.387
83.408,17.491
82.411,16.897
82.044,16.823
82.395,16.695
82.575,16.679
82.526,16.702
82.526,16.702
82.526,16.702
82.526,16.702
82.519,18.182
82.578,18.687
82.797,18.872
82.676,18.374
82.179,18.067
82.442,18.156
82.372,18.241
81.951,17.93
82.002,19.118
81.98,19.379
82.16,19.708
82.684,19.305
81.572,18.282
81.117,17.047
80.868,18.018
80.787,18.099
79.791,17.818
79.281,17.776
